Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,19-Oct-2015,2473.75,2490,2494.95,2455.85,2493.95,2488.75,2473.9,1565321,3872449831.1,55224
TCS,EQ,20-Oct-2015,2488.75,2496.25,2530,2495.6,2523.2,2526.75,2520.95,1347542,3397089855.45,60572
TCS,EQ,21-Oct-2015,2526.75,2535,2542,2522.25,2526,2530,2532.48,964844,2443449158.55,80004
TCS,EQ,23-Oct-2015,2530,2548,2548,2527.3,2536.95,2537.15,2534.65,1167699,2959713465.9,39962
TCS,EQ,26-Oct-2015,2537.15,2549,2549,2515.1,2540,2536.55,2530.16,707315,1789621755.3,58521
TCS,EQ,27-Oct-2015,2536.55,2530.05,2544.9,2520.35,2528.9,2531.1,2531.42,765210,1937067442.75,47064
TCS,EQ,28-Oct-2015,2531.1,2510.05,2533.55,2510.05,2528,2529.1,2524.11,627671,1584311787.8,43535
TCS,EQ,29-Oct-2015,2529.1,2533.55,2535.4,2490.05,2496,2495.35,2500.06,1565158,3912986455.6,61541
TCS,EQ,30-Oct-2015,2495.35,2500,2511.9,2485,2500,2495.2,2495.93,758348,1892786967.45,41071
TCS,EQ,02-Nov-2015,2495.2,2500,2522.8,2487.55,2518,2517.35,2507.96,659647,1654368762.9,48056
TCS,EQ,03-Nov-2015,2517.35,2528,2547.8,2518.5,2538.85,2543.45,2536.88,682453,1731302984.55,39895
TCS,EQ,04-Nov-2015,2543.45,2545,2547.2,2520,2526.75,2533.8,2532.27,495717,1255289591.1,41282
TCS,EQ,05-Nov-2015,2533.8,2530.8,2534.95,2480,2485,2482.65,2496.94,798049,1992676741.45,38722
TCS,EQ,06-Nov-2015,2482.65,2492,2518.25,2483.45,2505.2,2505.75,2507.54,454012,1138452606.05,26028
TCS,EQ,09-Nov-2015,2505.75,2495,2502.75,2468.6,2474,2471.35,2477.88,1010778,2504589508.5,42927
TCS,EQ,10-Nov-2015,2471.35,2472.95,2477,2450,2455,2458.15,2463.3,680960,1677407795.95,53282
TCS,EQ,11-Nov-2015,2458.15,2475,2475,2450,2472,2468.8,2467.45,67582,166754977.55,5197
TCS,EQ,13-Nov-2015,2468.8,2438.05,2438.05,2386.55,2396,2397.4,2405.31,1371616,3299155303.45,77174
TCS,EQ,16-Nov-2015,2397.4,2390,2390,2356,2376,2374.6,2371.62,1021764,2423237597.1,67518
TCS,EQ,17-Nov-2015,2374.6,2380.5,2398.45,2375,2390,2390.55,2385.85,992514,2367989027.85,58593
TCS,EQ,18-Nov-2015,2390.55,2388.9,2388.9,2346,2349.65,2351.45,2358.29,760176,1792717016,43678
TCS,EQ,19-Nov-2015,2351.45,2365.35,2381.6,2352,2367,2362.55,2366.14,933453,2208680749.55,55764
TCS,EQ,20-Nov-2015,2362.55,2366.5,2423.55,2361.95,2394.5,2398.35,2403.22,1006063,2417790418.4,60130
TCS,EQ,23-Nov-2015,2398.35,2405.3,2413.4,2382.25,2389.3,2391.05,2397.62,544041,1304405391.85,42359
TCS,EQ,24-Nov-2015,2391.05,2380.05,2392.45,2365.5,2366,2367.95,2378.62,499320,1187694596.1,35776
TCS,EQ,26-Nov-2015,2367.95,2377.9,2382.4,2337.85,2346,2345.55,2355.52,1457646,3433508896.1,77452
TCS,EQ,27-Nov-2015,2345.55,2348,2359.45,2332.5,2354.95,2353.35,2348.7,868603,2040086163.75,62719
TCS,EQ,30-Nov-2015,2353.35,2365,2391.25,2350.15,2373.55,2364.7,2365.21,2050024,4848744782.2,85439
TCS,EQ,01-Dec-2015,2364.7,2362.9,2378.05,2357.05,2359.75,2361.9,2363.85,860997,2035267110,51511
TCS,EQ,02-Dec-2015,2361.9,2378,2378.1,2346.5,2367,2365.2,2362.86,820148,1937896039.75,38694
TCS,EQ,03-Dec-2015,2365.2,2360,2373,2347,2350,2350.75,2356.59,1141679,2690467598.75,41715
TCS,EQ,04-Dec-2015,2350.75,2340,2347.3,2321.1,2330,2328.4,2330.08,623046,1451747348.45,32999
TCS,EQ,07-Dec-2015,2328.4,2332.2,2343.9,2315.25,2321,2319.8,2322.27,691302,1605390412.1,52150
TCS,EQ,08-Dec-2015,2319.8,2319.4,2349,2317.3,2326.25,2329,2332.95,569982,1329739195.55,47957
TCS,EQ,09-Dec-2015,2329,2337.9,2372.8,2320,2370,2367.65,2361.23,2641403,6236953830.25,59592
TCS,EQ,10-Dec-2015,2367.65,2369,2391.2,2352,2380.95,2384.55,2374.82,861994,2047084266.5,52429
TCS,EQ,11-Dec-2015,2384.55,2383,2391.95,2363.25,2383.15,2386,2384.13,826189,1969745818.2,53651
TCS,EQ,14-Dec-2015,2386,2335.2,2387,2330.6,2375,2378.45,2364.84,1359266,3214443353.75,58637
